sentence|tone|rater_order|current_rating
Are you feeling okay, you seem a bit off today?|admiring|0|1
Are you feeling okay, you seem a bit off today?|admiring|1|1
Are you feeling okay, you seem a bit off today?|admiring|2|1
Are you feeling okay, you seem a bit off today?|admiring|3|1
Are you feeling okay, you seem a bit off today?|admiring|4|1
Are you feeling okay, you seem a bit off today?|affectionate|0|2
Are you feeling okay, you seem a bit off today?|affectionate|1|2
Are you feeling okay, you seem a bit off today?|affectionate|2|2
Are you feeling okay, you seem a bit off today?|affectionate|3|1
Are you feeling okay, you seem a bit off today?|affectionate|4|2
Are you feeling okay, you seem a bit off today?|angry|0|1
Are you feeling okay, you seem a bit off today?|angry|1|1
Are you feeling okay, you seem a bit off today?|angry|2|1
Are you feeling okay, you seem a bit off today?|angry|3|1
Are you feeling okay, you seem a bit off today?|angry|4|1
Are you feeling okay, you seem a bit off today?|annoyed|0|1
Are you feeling okay, you seem a bit off today?|annoyed|1|1
Are you feeling okay, you seem a bit off today?|annoyed|2|1
Are you feeling okay, you seem a bit off today?|annoyed|3|1
Are you feeling okay, you seem a bit off today?|annoyed|4|1
Are you feeling okay, you seem a bit off today?|anxious|0|3
Are you feeling okay, you seem a bit off today?|anxious|1|3
Are you feeling okay, you seem a bit off today?|anxious|2|3
Are you feeling okay, you seem a bit off today?|anxious|3|3
Are you feeling okay, you seem a bit off today?|anxious|4|3
Are you feeling okay, you seem a bit off today?|apologetic|0|1
Are you feeling okay, you seem a bit off today?|apologetic|1|1
Are you feeling okay, you seem a bit off today?|apologetic|2|1
Are you feeling okay, you seem a bit off today?|apologetic|3|1
Are you feeling okay, you seem a bit off today?|apologetic|4|1
Are you feeling okay, you seem a bit off today?|appreciative|0|1
Are you feeling okay, you seem a bit off today?|appreciative|1|1
Are you feeling okay, you seem a bit off today?|appreciative|2|1
Are you feeling okay, you seem a bit off today?|appreciative|3|1
Are you feeling okay, you seem a bit off today?|appreciative|4|1
Are you feeling okay, you seem a bit off today?|concerned|0|4
Are you feeling okay, you seem a bit off today?|concerned|1|4
Are you feeling okay, you seem a bit off today?|concerned|2|5
Are you feeling okay, you seem a bit off today?|concerned|3|5
Are you feeling okay, you seem a bit off today?|concerned|4|4
Are you feeling okay, you seem a bit off today?|confused|0|2
Are you feeling okay, you seem a bit off today?|confused|1|3
Are you feeling okay, you seem a bit off today?|confused|2|2
Are you feeling okay, you seem a bit off today?|confused|3|2
Are you feeling okay, you seem a bit off today?|confused|4|2
Are you feeling okay, you seem a bit off today?|curious|0|4
Are you feeling okay, you seem a bit off today?|curious|1|4
Are you feeling okay, you seem a bit off today?|curious|2|4
Are you feeling okay, you seem a bit off today?|curious|3|4
Are you feeling okay, you seem a bit off today?|curious|4|4
Are you feeling okay, you seem a bit off today?|defensive|0|1
Are you feeling okay, you seem a bit off today?|defensive|1|1
Are you feeling okay, you seem a bit off today?|defensive|2|1
Are you feeling okay, you seem a bit off today?|defensive|3|1
Are you feeling okay, you seem a bit off today?|defensive|4|1
Are you feeling okay, you seem a bit off today?|descriptive|0|1
Are you feeling okay, you seem a bit off today?|descriptive|1|1
Are you feeling okay, you seem a bit off today?|descriptive|2|2
Are you feeling okay, you seem a bit off today?|descriptive|3|2
Are you feeling okay, you seem a bit off today?|descriptive|4|2
Are you feeling okay, you seem a bit off today?|desperate|0|1
Are you feeling okay, you seem a bit off today?|desperate|1|1
Are you feeling okay, you seem a bit off today?|desperate|2|1
Are you feeling okay, you seem a bit off today?|desperate|3|2
Are you feeling okay, you seem a bit off today?|desperate|4|1
Are you feeling okay, you seem a bit off today?|disappointed|0|1
Are you feeling okay, you seem a bit off today?|disappointed|1|1
Are you feeling okay, you seem a bit off today?|disappointed|2|2
Are you feeling okay, you seem a bit off today?|disappointed|3|1
Are you feeling okay, you seem a bit off today?|disappointed|4|1
Are you feeling okay, you seem a bit off today?|encouraging|0|1
Are you feeling okay, you seem a bit off today?|encouraging|1|1
