_initial_assets,awaiting_async_process,vars,id,creation_time,failed,failed_reason,time_of_death,type,origin_id,network_id,complete,node_id,participant_id,module_state_id,trial_maker_id,definition,finalized,is_repeat_trial,score,bonus,parent_trial_id,answer,propagate_failure,response_id,repeat_trial_index,n_repeat_trials,time_taken,time_credit_before_trial,time_credit_after_trial,time_credit_from_trial,block_position,block,class,object_type,sentence,tones
{},False,{},1,2023-12-15 23:21:10,True,response_timeout,2023-12-15 23:41:45,DenseRatingRemnantTrial,5,5,False,5,1,1,DenseRatingRemnant,"{""sentence"": ""I can`t wait for the concert tonight, it`s going to be amazing!"", ""tones"": [""urgent"", ""sad"", ""curious"", ""concerned"", ""anxious""]}",False,False,,,,,True,,,,,140.0,,,0,default,DenseRatingRemnantTrial,Info,"I can`t wait for the concert tonight, it`s going to be amazing!","[""urgent"", ""sad"", ""curious"", ""concerned"", ""anxious""]"
{},False,{},2,2023-12-15 23:34:47,False,,,DenseRatingRemnantTrial,52,52,True,52,3,2,DenseRatingRemnant,"{""sentence"": ""Thankfully, I received the package just in time."", ""tones"": [""indignant"", ""pleased"", ""confused"", ""apologetic"", ""angry""]}",True,False,,0.0,,"{""sentence"": ""Thankfully, I received the package just in time."", ""tones"": [""indignant"", ""pleased"", ""confused"", ""apologetic"", ""angry""], ""answer"": {""indignant"": ""1"", ""pleased"": ""4"", ""confused"": ""1"", ""apologetic"": ""1"", ""angry"": ""2""}}",True,24.0,,,45.965,140.0,190.0,50.0,0,default,DenseRatingRemnantTrial,Info,"Thankfully, I received the package just in time.","[""indignant"", ""pleased"", ""confused"", ""apologetic"", ""angry""]"
{},False,{},3,2023-12-15 23:35:34,False,,,DenseRatingRemnantTrial,61,61,True,61,3,2,DenseRatingRemnant,"{""sentence"": ""The patient was unhappy with his treatment."", ""tones"": [""pleased"", ""skeptical"", ""appreciative"", ""disappointed"", ""annoyed""]}",True,False,,0.0,,"{""sentence"": ""The patient was unhappy with his treatment."", ""tones"": [""pleased"", ""skeptical"", ""appreciative"", ""disappointed"", ""annoyed""], ""answer"": {""pleased"": ""1"", ""skeptical"": ""4"", ""appreciative"": ""1"", ""disappointed"": ""5"", ""annoyed"": ""5""}}",True,27.0,,,35.589,190.0,240.0,50.0,0,default,DenseRatingRemnantTrial,Info,The patient was unhappy with his treatment.,"[""pleased"", ""skeptical"", ""appreciative"", ""disappointed"", ""annoyed""]"
{},False,{},4,2023-12-15 23:36:10,False,,,DenseRatingRemnantTrial,64,64,True,64,3,2,DenseRatingRemnant,"{""sentence"": ""Please allow me to assist with any problems you may have."", ""tones"": [""shocked"", ""urgent"", ""worried"", ""friendly"", ""thankful""]}",True,False,,0.0,,"{""sentence"": ""Please allow me to assist with any problems you may have."", ""tones"": [""shocked"", ""urgent"", ""worried"", ""friendly"", ""thankful""], ""answer"": {""shocked"": ""1"", ""urgent"": ""1"", ""worried"": ""1"", ""friendly"": ""3"", ""thankful"": ""2""}}",True,30.0,,,33.029,240.0,290.0,50.0,0,default,DenseRatingRemnantTrial,Info,Please allow me to assist with any problems you may have.,"[""shocked"", ""urgent"", ""worried"", ""friendly"", ""thankful""]"
{},False,{},5,2023-12-15 23:36:44,False,,,DenseRatingRemnantTrial,43,43,True,43,3,2,DenseRatingRemnant,"{""sentence"": ""Thank goodness that is over; I thought it would never end!"", ""tones"": [""admiring"", ""annoyed"", ""disappointed"", ""relieved"", ""nostalgic""]}",True,False,,0.0,,"{""sentence"": ""Thank goodness that is over; I thought it would never end!"", ""tones"": [""admiring"", ""annoyed"", ""disappointed"", ""relieved"", ""nostalgic""], ""answer"": {""admiring"": ""4"", ""annoyed"": ""4"", ""disappointed"": ""1"", ""relieved"": ""5"", ""nostalgic"": ""1""}}",True,38.0,,,41.125,290.0,340.0,50.0,0,default,DenseRatingRemnantTrial,Info,Thank goodness that is over; I thought it would never end!,"[""admiring"", ""annoyed"", ""disappointed"", ""relieved"", ""nostalgic""]"
{},False,{},6,2023-12-15 23:37:25,False,,,DenseRatingRemnantTrial,30,30,True,30,3,2,DenseRatingRemnant,"{""sentence"": ""Why can`t you just do your job properly for once?"", ""tones"": [""encouraging"", ""curious"", ""sympathetic"", ""disappointed"", ""surprised""]}",True,False,,0.0,,"{""sentence"": ""Why can`t you just do your job properly for once?"", ""tones"": [""encouraging"", ""curious"", ""sympathetic"", ""disappointed"", ""surprised""], ""answer"": {""encouraging"": ""1"", ""curious"": ""1"", ""sympathetic"": ""1"", ""disappointed"": ""5"", ""surprised"": ""3""}}",True,42.0,,,46.984,340.0,390.0,50.0,0,default,DenseRatingRemnantTrial,Info,Why can`t you just do your job properly for once?,"[""encouraging"", ""curious"", ""sympathetic"", ""disappointed"", ""surprised""]"
{},False,{},7,2023-12-15 23:38:13,False,,,DenseRatingRemnantTrial,1,1,True,1,3,2,DenseRatingRemnant,"{""sentence"": ""Hey there, how was your weekend, buddy?"", ""tones"": [""descriptive"", ""relieved"", ""confused"", ""surprised"", ""affectionate""]}",True,False,,0.0,,"{""sentence"": ""Hey there, how was your weekend, buddy?"", ""tones"": [""descriptive"", ""relieved"", ""confused"", ""surprised"", ""affectionate""], ""answer"": {""descriptive"": ""2"", ""relieved"": ""4"", ""confused"": ""1"", ""surprised"": ""1"", ""affectionate"": ""5""}}",True,45.0,,,22.802,390.0,440.0,50.0,0,default,DenseRatingRemnantTrial,Info,"Hey there, how was your weekend, buddy?","[""descriptive"", ""relieved"", ""confused"", ""surprised"", ""affectionate""]"
{},False,{},8,2023-12-15 23:38:35,False,,,DenseRatingRemnantTrial,17,17,True,17,5,3,DenseRatingRemnant,"{""sentence"": ""The calm lake mirrored the serene, starlit sky above us as we softly whispered our dreams under the moonlight."", ""tones"": [""reflective"", ""joyful"", ""excited"", ""irritated"", ""uncertain""]}",True,False,,0.0,,"{""sentence"": ""The calm lake mirrored the serene, starlit sky above us as we softly whispered our dreams under the moonlight."", ""tones"": [""reflective"", ""joyful"", ""excited"", ""irritated"", ""uncertain""], ""answer"": {""reflective"": ""4"", ""joyful"": ""4"", ""excited"": ""2"", ""irritated"": ""1"", ""uncertain"": ""1""}}",True,49.0,,,34.846,140.0,190.0,50.0,0,default,DenseRatingRemnantTrial,Info,"The calm lake mirrored the serene, starlit sky above us as we softly whispered our dreams under the moonlight.","[""reflective"", ""joyful"", ""excited"", ""irritated"", ""uncertain""]"
{},False,{},9,2023-12-15 23:38:37,False,,,DenseRatingRemnantTrial,13,13,True,13,3,2,DenseRatingRemnant,"{""sentence"": ""Your smile is the most beautiful thing I`ve ever seen."", ""tones"": [""friendly"", ""indignant"", ""pleased"", ""concerned"", ""thankful""]}",True,False,,0.0,,"{""sentence"": ""Your smile is the most beautiful thing I`ve ever seen."", ""tones"": [""friendly"", ""indignant"", ""pleased"", ""concerned"", ""thankful""], ""answer"": {""friendly"": ""5"", ""indignant"": ""1"", ""pleased"": ""5"", ""concerned"": ""1"", ""thankful"": ""5""}}",True,48.0,,,24.269,440.0,490.0,50.0,0,default,DenseRatingRemnantTrial,Info,Your smile is the most beautiful thing I`ve ever seen.,"[""friendly"", ""indignant"", ""pleased"", ""concerned"", ""thankful""]"
{},False,{},10,2023-12-15 23:39:01,False,,,DenseRatingRemnantTrial,73,73,True,73,3,2,DenseRatingRemnant,"{""sentence"": ""Is he really coming over then?"", ""tones"": [""appreciative"", ""disappointed"", ""grateful"", ""affectionate"", ""confused""]}",True,False,,0.0,,"{""sentence"": ""Is he really coming over then?"", ""tones"": [""appreciative"", ""disappointed"", ""grateful"", ""affectionate"", ""confused""], ""answer"": {""appreciative"": ""2"", ""disappointed"": ""4"", ""grateful"": ""2"", ""affectionate"": ""2"", ""confused"": ""4""}}",True,51.0,,,27.124,490.0,540.0,50.0,0,default,DenseRatingRemnantTrial,Info,Is he really coming over then?,"[""appreciative"", ""disappointed"", ""grateful"", ""affectionate"", ""confused""]"
