awaiting_async_process,vars,id,creation_time,failed,failed_reason,time_of_death,type,network_id,participant_id,trial_maker_id,module_id,_on_create_called,_on_deploy_called,ready_for_trials,key,degree,child_id,parent_id,seed,definition,context,participant_group,block,propagate_failure,n_viable_trials,class,object_type
False,{},1,2023-08-03 12:43:08,False,,,TrialSource,1,,SREPractice,SREPractice,True,False,True,,0,94.0,,{},"{""previous_sample"": {""obtained_response"": ""That sounds like a great day."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},2,2023-08-03 12:43:08,False,,,TrialSource,2,,SREPractice,SREPractice,True,False,True,,0,93.0,,{},"{""previous_sample"": {""obtained_response"": ""authoritative"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},3,2023-08-03 12:43:08,False,,,TrialSource,3,,SRE_chain,SRE_chain,True,False,True,,0,505.0,,{},"{""previous_sample"": {""obtained_response"": ""I wish I got the same ice cream as you."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},4,2023-08-03 12:43:08,False,,,TrialSource,4,,SRE_chain,SRE_chain,True,False,True,,0,99.0,,{},"{""previous_sample"": {""obtained_response"": ""They did not know what happened."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},5,2023-08-03 12:43:08,False,,,TrialSource,5,,SRE_chain,SRE_chain,True,False,True,,0,543.0,,{},"{""previous_sample"": {""obtained_response"": ""I have to admit, I am completely bamboozled."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},6,2023-08-03 12:43:08,False,,,TrialSource,6,,SRE_chain,SRE_chain,True,False,True,,0,131.0,,{},"{""previous_sample"": {""obtained_response"": ""I was trying to be irritated."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},7,2023-08-03 12:43:08,False,,,TrialSource,7,,SRE_chain,SRE_chain,True,False,True,,0,206.0,,{},"{""previous_sample"": {""obtained_response"": ""Stay away from me, you beast!"", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},8,2023-08-03 12:43:08,False,,,TrialSource,8,,SRE_chain,SRE_chain,True,False,True,,0,219.0,,{},"{""previous_sample"": {""obtained_response"": ""Tragically, there was nothing I could do."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},9,2023-08-03 12:43:08,False,,,TrialSource,9,,SRE_chain,SRE_chain,True,False,True,,0,371.0,,{},"{""previous_sample"": {""obtained_response"": ""The documentary told the true story."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},10,2023-08-03 12:43:08,False,,,TrialSource,10,,SRE_chain,SRE_chain,True,False,True,,0,130.0,,{},"{""previous_sample"": {""obtained_response"": ""The cars sped around the track as second place made absolutely stunning overtake, flying past their opponent to take first place."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},11,2023-08-03 12:43:08,False,,,TrialSource,11,,SRE_chain,SRE_chain,True,False,True,,0,292.0,,{},"{""previous_sample"": {""obtained_response"": ""I was very unhappy that I was not able to compete in the race."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},12,2023-08-03 12:43:08,False,,,TrialSource,12,,SRE_chain,SRE_chain,True,False,True,,0,334.0,,{},"{""previous_sample"": {""obtained_response"": ""I`m so grateful you did this for me."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},13,2023-08-03 12:43:08,False,,,TrialSource,13,,SRE_chain,SRE_chain,True,False,True,,0,183.0,,{},"{""previous_sample"": {""obtained_response"": ""That sounds like a great day."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},14,2023-08-03 12:43:08,False,,,TrialSource,14,,SRE_chain,SRE_chain,True,False,True,,0,129.0,,{},"{""previous_sample"": {""obtained_response"": ""That isn`t very good or polite off her."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},15,2023-08-03 12:43:08,False,,,TrialSource,15,,SRE_chain,SRE_chain,True,False,True,,0,110.0,,{},"{""previous_sample"": {""obtained_response"": ""Good morning, what a lovely day it is!"", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
