awaiting_async_process,vars,id,creation_time,failed,failed_reason,time_of_death,type,network_id,participant_id,trial_maker_id,module_id,_on_create_called,_on_deploy_called,ready_for_trials,key,degree,child_id,parent_id,seed,definition,context,participant_group,block,propagate_failure,n_viable_trials,class,object_type
False,{},1,2023-08-04 11:58:33,False,,,TrialSource,1,,SREPractice,SREPractice,True,False,True,,0,93.0,,{},"{""previous_sample"": {""obtained_response"": ""I don`t know why, but I don`t trust him!"", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},2,2023-08-04 11:58:33,False,,,TrialSource,2,,SREPractice,SREPractice,True,False,True,,0,94.0,,{},"{""previous_sample"": {""obtained_response"": ""informative"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},3,2023-08-04 11:58:33,False,,,TrialSource,3,,SRE_chain,SRE_chain,True,False,True,,0,216.0,,{},"{""previous_sample"": {""obtained_response"": ""I am pleased to hear you won!"", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},4,2023-08-04 11:58:33,False,,,TrialSource,4,,SRE_chain,SRE_chain,True,False,True,,0,138.0,,{},"{""previous_sample"": {""obtained_response"": ""She was overjoyed at the birth of her first grandchild."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},5,2023-08-04 11:58:33,False,,,TrialSource,5,,SRE_chain,SRE_chain,True,False,True,,0,134.0,,{},"{""previous_sample"": {""obtained_response"": ""I will do all I can to help him succeed."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},6,2023-08-04 11:58:33,False,,,TrialSource,6,,SRE_chain,SRE_chain,True,False,True,,0,179.0,,{},"{""previous_sample"": {""obtained_response"": ""The sun has come out and the ice cream van has arrived!"", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},7,2023-08-04 11:58:33,False,,,TrialSource,7,,SRE_chain,SRE_chain,True,False,True,,0,104.0,,{},"{""previous_sample"": {""obtained_response"": ""I don`t know why, but I don`t trust him!"", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},8,2023-08-04 11:58:33,False,,,TrialSource,8,,SRE_chain,SRE_chain,True,False,True,,0,280.0,,{},"{""previous_sample"": {""obtained_response"": ""I have won a large sum of money on the lottery."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},9,2023-08-04 11:58:33,False,,,TrialSource,9,,SRE_chain,SRE_chain,True,False,True,,0,276.0,,{},"{""previous_sample"": {""obtained_response"": ""Why would you do such a thing."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},10,2023-08-04 11:58:33,False,,,TrialSource,10,,SRE_chain,SRE_chain,True,False,True,,0,122.0,,{},"{""previous_sample"": {""obtained_response"": ""Everything is going to go wrong!"", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},11,2023-08-04 11:58:33,False,,,TrialSource,11,,SRE_chain,SRE_chain,True,False,True,,0,195.0,,{},"{""previous_sample"": {""obtained_response"": ""I am unsure about what is going to happen next."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},12,2023-08-04 11:58:33,False,,,TrialSource,12,,SRE_chain,SRE_chain,True,False,True,,0,159.0,,{},"{""previous_sample"": {""obtained_response"": ""The mob retrenched their ways after the elders talked to them."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},13,2023-08-04 11:58:33,False,,,TrialSource,13,,SRE_chain,SRE_chain,True,False,True,,0,115.0,,{},"{""previous_sample"": {""obtained_response"": ""I have always been there for both of my children."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},14,2023-08-04 11:58:33,False,,,TrialSource,14,,SRE_chain,SRE_chain,True,False,True,,0,232.0,,{},"{""previous_sample"": {""obtained_response"": ""I am not sure whether we should do this."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},15,2023-08-04 11:58:33,False,,,TrialSource,15,,SRE_chain,SRE_chain,True,False,True,,0,107.0,,{},"{""previous_sample"": {""obtained_response"": ""That`s really great, I`m so pleased."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},16,2023-08-04 11:58:33,False,,,TrialSource,16,,SRE_chain,SRE_chain,True,False,True,,0,127.0,,{},"{""previous_sample"": {""obtained_response"": ""The rain has not stopped for the last fortnight, if this continues, the crops in the fields will be ruined!"", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},17,2023-08-04 11:58:33,False,,,TrialSource,17,,SRE_chain,SRE_chain,True,False,True,,0,424.0,,{},"{""previous_sample"": {""obtained_response"": ""We can get through this together."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},18,2023-08-04 11:58:33,False,,,TrialSource,18,,SRE_chain,SRE_chain,True,False,True,,0,121.0,,{},"{""previous_sample"": {""obtained_response"": ""I do not believe they are speaking the truth."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},19,2023-08-04 11:58:33,False,,,TrialSource,19,,SRE_chain,SRE_chain,True,False,True,,0,165.0,,{},"{""previous_sample"": {""obtained_response"": ""I just didn`t know what to do next."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},20,2023-08-04 11:58:33,False,,,TrialSource,20,,SRE_chain,SRE_chain,True,False,True,,0,292.0,,{},"{""previous_sample"": {""obtained_response"": ""I wasn`t expecting him to propose to me on holiday!"", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},21,2023-08-04 11:58:33,False,,,TrialSource,21,,SRE_chain,SRE_chain,True,False,True,,0,120.0,,{},"{""previous_sample"": {""obtained_response"": ""I am delighted with how the weather turned out."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},22,2023-08-04 11:58:33,False,,,TrialSource,22,,SRE_chain,SRE_chain,True,False,True,,0,250.0,,{},"{""previous_sample"": {""obtained_response"": ""My blue flamingo enjoys visitors, would you like to come and see her and we can explore each other more."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},23,2023-08-04 11:58:33,False,,,TrialSource,23,,SRE_chain,SRE_chain,True,False,True,,0,251.0,,{},"{""previous_sample"": {""obtained_response"": ""I really can`t believe you just said that."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},24,2023-08-04 11:58:33,False,,,TrialSource,24,,SRE_chain,SRE_chain,True,False,True,,0,112.0,,{},"{""previous_sample"": {""obtained_response"": ""I can`t wait to see his face when he gets the money."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},25,2023-08-04 11:58:33,False,,,TrialSource,25,,SRE_chain,SRE_chain,True,False,True,,0,139.0,,{},"{""previous_sample"": {""obtained_response"": ""I am really sorry you`re going through this."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},26,2023-08-04 11:58:33,False,,,TrialSource,26,,SRE_chain,SRE_chain,True,False,True,,0,298.0,,{},"{""previous_sample"": {""obtained_response"": ""He was admitted to the hospital but due to the lack of beds, spent days waiting on a trolley."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},27,2023-08-04 11:58:33,False,,,TrialSource,27,,SRE_chain,SRE_chain,True,False,True,,0,125.0,,{},"{""previous_sample"": {""obtained_response"": ""Don`t worry, everything will turn out okay!"", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},28,2023-08-04 11:58:33,False,,,TrialSource,28,,SRE_chain,SRE_chain,True,False,True,,0,147.0,,{},"{""previous_sample"": {""obtained_response"": ""I can`t believe that Donald Trump is claiming not guilty to all charges."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},29,2023-08-04 11:58:33,False,,,TrialSource,29,,SRE_chain,SRE_chain,True,False,True,,0,108.0,,{},"{""previous_sample"": {""obtained_response"": ""I can`t believe that just happened!"", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},30,2023-08-04 11:58:33,False,,,TrialSource,30,,SRE_chain,SRE_chain,True,False,True,,0,105.0,,{},"{""previous_sample"": {""obtained_response"": ""I frantically looked for my keys."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},31,2023-08-04 11:58:33,False,,,TrialSource,31,,SRE_chain,SRE_chain,True,False,True,,0,626.0,,{},"{""previous_sample"": {""obtained_response"": ""Being in the situation myself, I understood where she was coming from."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},32,2023-08-04 11:58:33,False,,,TrialSource,32,,SRE_chain,SRE_chain,True,False,True,,0,124.0,,{},"{""previous_sample"": {""obtained_response"": ""I am so pleased for you, that`s wonderful news."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},33,2023-08-04 11:58:33,False,,,TrialSource,33,,SRE_chain,SRE_chain,True,False,True,,0,98.0,,{},"{""previous_sample"": {""obtained_response"": ""I just want to go home and cry."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},34,2023-08-04 11:58:33,False,,,TrialSource,34,,SRE_chain,SRE_chain,True,False,True,,0,344.0,,{},"{""previous_sample"": {""obtained_response"": ""Where am I, who are you."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},35,2023-08-04 11:58:33,False,,,TrialSource,35,,SRE_chain,SRE_chain,True,False,True,,0,132.0,,{},"{""previous_sample"": {""obtained_response"": ""I really love your outfit, it looks amazing, you wear it so well!"", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},36,2023-08-04 11:58:33,False,,,TrialSource,36,,SRE_chain,SRE_chain,True,False,True,,0,154.0,,{},"{""previous_sample"": {""obtained_response"": ""I am so glad we bought this house years ago, it still really is a nice place to live all these years later."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},37,2023-08-04 11:58:33,False,,,TrialSource,37,,SRE_chain,SRE_chain,True,False,True,,0,300.0,,{},"{""previous_sample"": {""obtained_response"": ""What fascinating mysteries lie ahead?"", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},38,2023-08-04 11:58:33,False,,,TrialSource,38,,SRE_chain,SRE_chain,True,False,True,,0,114.0,,{},"{""previous_sample"": {""obtained_response"": ""I have no idea how this happened."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},39,2023-08-04 11:58:33,False,,,TrialSource,39,,SRE_chain,SRE_chain,True,False,True,,0,152.0,,{},"{""previous_sample"": {""obtained_response"": ""You look pale, are you ill?"", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},40,2023-08-04 11:58:33,False,,,TrialSource,40,,SRE_chain,SRE_chain,True,False,True,,0,267.0,,{},"{""previous_sample"": {""obtained_response"": ""I was relaxing listening to my music with a nice drink and some snacks."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},41,2023-08-04 11:58:33,False,,,TrialSource,41,,SRE_chain,SRE_chain,True,False,True,,0,101.0,,{},"{""previous_sample"": {""obtained_response"": ""I know that I am so good looking."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},42,2023-08-04 11:58:33,False,,,TrialSource,42,,SRE_chain,SRE_chain,True,False,True,,0,384.0,,{},"{""previous_sample"": {""obtained_response"": ""I never could of imagined my life being so great."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},43,2023-08-04 11:58:33,False,,,TrialSource,43,,SRE_chain,SRE_chain,True,False,True,,0,160.0,,{},"{""previous_sample"": {""obtained_response"": ""I`d be happy to help you with that."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},44,2023-08-04 11:58:33,False,,,TrialSource,44,,SRE_chain,SRE_chain,True,False,True,,0,140.0,,{},"{""previous_sample"": {""obtained_response"": ""I am so appreciative of everything you have done for us."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},45,2023-08-04 11:58:33,False,,,TrialSource,45,,SRE_chain,SRE_chain,True,False,True,,0,204.0,,{},"{""previous_sample"": {""obtained_response"": ""If you need anything, please ask."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},46,2023-08-04 11:58:33,False,,,TrialSource,46,,SRE_chain,SRE_chain,True,False,True,,0,172.0,,{},"{""previous_sample"": {""obtained_response"": ""The sky was so blue this morning."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},47,2023-08-04 11:58:33,False,,,TrialSource,47,,SRE_chain,SRE_chain,True,False,True,,0,130.0,,{},"{""previous_sample"": {""obtained_response"": ""I appreciate being able to eat daily."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
