_initial_assets,awaiting_async_process,vars,id,creation_time,failed,failed_reason,time_of_death,type,origin_id,network_id,complete,node_id,participant_id,module_state_id,trial_maker_id,definition,finalized,is_repeat_trial,score,bonus,parent_trial_id,answer,propagate_failure,response_id,repeat_trial_index,n_repeat_trials,time_taken,time_credit_before_trial,time_credit_after_trial,time_credit_from_trial,block_position,block,class,object_type,word_1,word_2,idx_1,idx_2,order
{},False,{},1,2023-12-15 23:10:34,False,,,EvaluationTrial,448,448,True,448,2,1,evaluations,"{""id"": 447, ""word_1"": ""disappointed"", ""word_2"": ""grateful"", ""idx_1"": 13, ""idx_2"": 18, ""order"": 0}",True,False,,0.0,,2,True,13.0,,,17.545,100.0,106.5,6.5,0,default,EvaluationTrial,Info,disappointed,grateful,13,18,0
{},False,{},2,2023-12-15 23:10:39,False,,,EvaluationTrial,450,450,True,450,1,2,evaluations,"{""id"": 449, ""word_1"": ""disappointed"", ""word_2"": ""indignant"", ""idx_1"": 13, ""idx_2"": 20, ""order"": 1}",True,False,,0.0,,2,True,15.0,,,19.179,100.0,106.5,6.5,0,default,EvaluationTrial,Info,disappointed,indignant,13,20,1
{},False,{},3,2023-12-15 23:10:53,False,,,EvaluationTrial,698,698,True,698,2,1,evaluations,"{""id"": 697, ""word_1"": ""pleased"", ""word_2"": ""uncertain"", ""idx_1"": 24, ""idx_2"": 37, ""order"": 0}",True,False,,0.0,,2,True,14.0,,,3.349,106.5,113.0,6.5,0,default,EvaluationTrial,Info,pleased,uncertain,24,37,0
{},False,{},4,2023-12-15 23:10:58,False,,,EvaluationTrial,75,75,True,75,2,1,evaluations,"{""id"": 74, ""word_1"": ""affectionate"", ""word_2"": ""sympathetic"", ""idx_1"": 1, ""idx_2"": 35, ""order"": 0}",True,False,,0.0,,5,True,16.0,,,2.576,113.0,119.5,6.5,0,default,EvaluationTrial,Info,affectionate,sympathetic,1,35,0
{},False,{},5,2023-12-15 23:10:59,False,,,EvaluationTrial,44,44,True,44,1,2,evaluations,"{""id"": 43, ""word_1"": ""affectionate"", ""word_2"": ""anxious"", ""idx_1"": 1, ""idx_2"": 4, ""order"": 0}",True,False,,0.0,,1,True,17.0,,,3.427,106.5,113.0,6.5,0,default,EvaluationTrial,Info,affectionate,anxious,1,4,0
{},False,{},6,2023-12-15 23:11:02,False,,,EvaluationTrial,623,623,True,623,2,1,evaluations,"{""id"": 622, ""word_1"": ""indignant"", ""word_2"": ""shocked"", ""idx_1"": 20, ""idx_2"": 32, ""order"": 0}",True,False,,0.0,,1,True,18.0,,,3.166,119.5,126.0,6.5,0,default,EvaluationTrial,Info,indignant,shocked,20,32,0
{},False,{},7,2023-12-15 23:11:04,False,,,EvaluationTrial,107,107,True,107,1,2,evaluations,"{""id"": 106, ""word_1"": ""angry"", ""word_2"": ""resigned"", ""idx_1"": 2, ""idx_2"": 29, ""order"": 1}",True,False,,0.0,,3,True,21.0,,,5.946,113.0,119.5,6.5,0,default,EvaluationTrial,Info,angry,resigned,2,29,1
{},False,{},8,2023-12-15 23:11:06,False,,,EvaluationTrial,541,541,True,541,2,1,evaluations,"{""id"": 540, ""word_1"": ""friendly"", ""word_2"": ""thankful"", ""idx_1"": 16, ""idx_2"": 36, ""order"": 1}",True,False,,0.0,,5,True,20.0,,,1.658,126.0,132.5,6.5,0,default,EvaluationTrial,Info,friendly,thankful,16,36,1
{},False,{},9,2023-12-15 23:11:09,False,,,EvaluationTrial,222,222,True,222,2,1,evaluations,"{""id"": 221, ""word_1"": ""apologetic"", ""word_2"": ""thankful"", ""idx_1"": 5, ""idx_2"": 36, ""order"": 1}",True,False,,0.0,,4,True,23.0,,,3.269,132.5,139.0,6.5,0,default,EvaluationTrial,Info,apologetic,thankful,5,36,1
{},False,{},10,2023-12-15 23:11:11,False,,,EvaluationTrial,176,176,True,176,1,2,evaluations,"{""id"": 175, ""word_1"": ""anxious"", ""word_2"": ""proud"", ""idx_1"": 4, ""idx_2"": 25, ""order"": 1}",True,False,,0.0,,1,True,24.0,,,2.954,119.5,126.0,6.5,0,default,EvaluationTrial,Info,anxious,proud,4,25,1
