_initial_assets,awaiting_async_process,vars,id,creation_time,failed,failed_reason,time_of_death,type,origin_id,network_id,complete,node_id,participant_id,module_state_id,trial_maker_id,definition,finalized,is_repeat_trial,score,bonus,parent_trial_id,answer,propagate_failure,response_id,repeat_trial_index,n_repeat_trials,time_taken,time_credit_before_trial,time_credit_after_trial,time_credit_from_trial,block_position,block,class,object_type,sentence,tones
{},False,{},1,2023-12-31 11:21:30,False,,,DenseRatingRemnantTrial,14,14,True,14,1,1,feature_rating,"{""sentence"": ""That has really angered me."", ""tones"": [""angry""]}",True,False,,0.0,,"{""sentence"": ""That has really angered me."", ""tones"": [""angry""], ""answer"": {""angry"": ""5""}}",True,10.0,,,4.144,140.0,190.0,50.0,0,default,DenseRatingRemnantTrial,Info,That has really angered me.,"[""angry""]"
{},False,{},2,2023-12-31 11:21:37,False,,,DenseRatingRemnantTrial,21,21,True,21,1,1,feature_rating,"{""sentence"": ""Nothing seems to be going as planned."", ""tones"": [""angry""]}",True,False,,0.0,,"{""sentence"": ""Nothing seems to be going as planned."", ""tones"": [""angry""], ""answer"": {""angry"": ""4""}}",True,11.0,,,6.357,190.0,240.0,50.0,0,default,DenseRatingRemnantTrial,Info,Nothing seems to be going as planned.,"[""angry""]"
{},False,{},3,2023-12-31 11:21:46,False,,,DenseRatingRemnantTrial,43,43,True,43,1,1,feature_rating,"{""sentence"": ""Why do you always leave your dirty dishes in the sink?"", ""tones"": [""resigned""]}",True,False,,0.0,,"{""sentence"": ""Why do you always leave your dirty dishes in the sink?"", ""tones"": [""resigned""], ""answer"": {""resigned"": ""3""}}",True,12.0,,,4.703,240.0,290.0,50.0,0,default,DenseRatingRemnantTrial,Info,Why do you always leave your dirty dishes in the sink?,"[""resigned""]"
{},False,{},4,2023-12-31 11:21:53,True,response_timeout,2023-12-31 11:27:49,DenseRatingRemnantTrial,44,44,False,44,1,1,feature_rating,"{""sentence"": ""Why do you always leave your dirty dishes in the sink?"", ""tones"": [""resigned""]}",False,False,,,,,True,,,,,290.0,,,0,default,DenseRatingRemnantTrial,Info,Why do you always leave your dirty dishes in the sink?,"[""resigned""]"
{},False,{},5,2023-12-31 11:26:05,False,,,DenseRatingRemnantTrial,42,42,True,42,3,2,feature_rating,"{""sentence"": ""Why do you always leave your dirty dishes in the sink?"", ""tones"": [""resigned""]}",True,False,,0.0,,"{""sentence"": ""Why do you always leave your dirty dishes in the sink?"", ""tones"": [""resigned""], ""answer"": {""resigned"": ""1""}}",True,29.0,,,15.255,140.0,190.0,50.0,0,default,DenseRatingRemnantTrial,Info,Why do you always leave your dirty dishes in the sink?,"[""resigned""]"
{},False,{},6,2023-12-31 11:26:21,False,,,DenseRatingRemnantTrial,6,6,True,6,3,2,feature_rating,"{""sentence"": ""That has really angered me."", ""tones"": [""urgent""]}",True,False,,0.0,,"{""sentence"": ""That has really angered me."", ""tones"": [""urgent""], ""answer"": {""urgent"": ""4""}}",True,32.0,,,8.368,190.0,240.0,50.0,0,default,DenseRatingRemnantTrial,Info,That has really angered me.,"[""urgent""]"
{},False,{},7,2023-12-31 11:26:31,False,,,DenseRatingRemnantTrial,24,24,True,24,3,2,feature_rating,"{""sentence"": ""Nothing seems to be going as planned."", ""tones"": [""angry""]}",True,False,,0.0,,"{""sentence"": ""Nothing seems to be going as planned."", ""tones"": [""angry""], ""answer"": {""angry"": ""2""}}",True,35.0,,,8.587,240.0,290.0,50.0,0,default,DenseRatingRemnantTrial,Info,Nothing seems to be going as planned.,"[""angry""]"
{},False,{},8,2023-12-31 11:26:40,False,,,DenseRatingRemnantTrial,7,7,True,7,3,2,feature_rating,"{""sentence"": ""That has really angered me."", ""tones"": [""urgent""]}",True,False,,0.0,,"{""sentence"": ""That has really angered me."", ""tones"": [""urgent""], ""answer"": {""urgent"": ""4""}}",True,37.0,,,6.289,290.0,340.0,50.0,0,default,DenseRatingRemnantTrial,Info,That has really angered me.,"[""urgent""]"
{},False,{},9,2023-12-31 11:26:47,False,,,DenseRatingRemnantTrial,39,39,True,39,3,2,feature_rating,"{""sentence"": ""The food was not as good as I thought it would be."", ""tones"": [""proud""]}",True,False,,0.0,,"{""sentence"": ""The food was not as good as I thought it would be."", ""tones"": [""proud""], ""answer"": {""proud"": ""1""}}",True,41.0,,,8.067,340.0,390.0,50.0,0,default,DenseRatingRemnantTrial,Info,The food was not as good as I thought it would be.,"[""proud""]"
{},False,{},10,2023-12-31 11:26:57,False,,,DenseRatingRemnantTrial,29,29,True,29,3,2,feature_rating,"{""sentence"": ""I can`t wait for the concert tonight, it`s going to be amazing!"", ""tones"": [""angry""]}",True,False,,0.0,,"{""sentence"": ""I can`t wait for the concert tonight, it`s going to be amazing!"", ""tones"": [""angry""], ""answer"": {""angry"": ""1""}}",True,43.0,,,5.124,390.0,440.0,50.0,0,default,DenseRatingRemnantTrial,Info,"I can`t wait for the concert tonight, it`s going to be amazing!","[""angry""]"
{},False,{},11,2023-12-31 11:27:03,False,,,DenseRatingRemnantTrial,28,28,True,28,3,2,feature_rating,"{""sentence"": ""I can`t wait for the concert tonight, it`s going to be amazing!"", ""tones"": [""angry""]}",True,False,,0.0,,"{""sentence"": ""I can`t wait for the concert tonight, it`s going to be amazing!"", ""tones"": [""angry""], ""answer"": {""angry"": ""1""}}",True,47.0,,,7.345,440.0,490.0,50.0,0,default,DenseRatingRemnantTrial,Info,"I can`t wait for the concert tonight, it`s going to be amazing!","[""angry""]"
